Taxa,Population
PI398464,R.SK
PI398470,R.SK
PI398472,R.SK
PI398475,R.SK
PI398482,R.SK
PI398484,R.SK
PI398486,R.SK
PI398489,R.SK
PI398490,R.SK
PI398492,R.SK
PI398494,R.SK
PI398495,R.SK
PI398499,R.SK
PI398501,R.SK
PI398504,R.SK
PI398505,R.SK
PI398516,R.SK
PI398519,R.SK
PI398522,R.SK
PI398523,R.SK
PI398529,R.SK
PI398531,R.SK
PI398537,R.SK
PI398551,R.SK
PI398558,R.SK
PI398566,R.SK
PI398588,R.SK
PI398600,R.SK
PI398601,R.SK
PI398604,R.SK
PI398617,R.SK
PI398619,R.SK
PI398620,R.SK
PI398624,R.SK
PI398636,R.SK
PI398637,R.SK
PI398638,R.SK
PI398640,R.SK
PI398641,R.SK
PI398642,R.SK
PI398644,R.SK
PI398652,R.SK
PI398654,R.SK
PI398655,R.SK
PI398657,R.SK
PI398685,R.SK
PI398686,R.SK
PI398696,R.SK
PI398697,R.SK
PI398698,R.SK
PI398706,R.SK
PI398708,R.SK
PI398710,R.SK
PI398712,R.SK
PI398716,R.SK
PI398720,R.SK
PI398727,R.SK
PI398735,R.SK
PI398738,R.SK
PI398744,R.SK
PI398746,R.SK
PI398750,R.SK
PI398751,R.SK
PI398752,R.SK
PI398753,R.SK
PI398754,R.SK
PI398757,R.SK
PI398759,R.SK
PI398765,R.SK
PI398776,R.SK
PI398788,R.SK
PI398801,R.SK
PI398802,R.SK
PI398803,R.SK
PI398806,R.SK
PI398807,R.SK
PI398808,R.SK
PI398813,R.SK
PI398814,R.SK
PI398816,R.SK
PI398820,R.SK
PI398821,R.SK
PI398822,R.SK
PI398823,R.SK
PI398830,R.SK
PI398831,R.SK
PI398832,R.SK
PI398838,R.SK
PI398843,R.SK
PI398858,R.SK
PI398867,R.SK
PI398868,R.SK
PI398871,R.SK
PI398872,R.SK
PI398878,R.SK
PI398881,R.SK
PI398883,R.SK
PI398884,R.SK
PI398885,R.SK
PI398886,R.SK
PI398887,R.SK
PI398888,R.SK
PI398889,R.SK
PI398891,R.SK
PI398899,R.SK
PI398901,R.SK
PI398904,R.SK
PI398908,R.SK
PI398914,R.SK
PI398915,R.SK
PI398916,R.SK
PI398920,R.SK
PI398921,R.SK
PI398923,R.SK
PI398924,R.SK
PI398927,R.SK
PI398929,R.SK
PI398930,R.SK
PI398931,R.SK
PI398933,R.SK
PI398934,R.SK
PI398936,R.SK
PI398938,R.SK
PI398941,R.SK
PI398942,R.SK
PI398953,R.SK
PI398957,R.SK
PI398960,R.SK
PI398975,R.SK
PI398980,R.SK
PI398982,R.SK
PI398987,R.SK
PI398989,R.SK
PI398990,R.SK
PI398995,R.SK
PI399010,R.SK
PI399011,R.SK
PI399018,R.SK
PI399023,R.SK
PI399028,R.SK
PI399030,R.SK
PI399031,R.SK
PI399034,R.SK
PI399035,R.SK
PI399039,R.SK
PI399043,R.SK
PI399046,R.SK
PI399051,R.SK
PI399063,R.SK
PI399066,R.SK
PI399069,R.SK
PI399070,R.SK
PI399072,R.SK
PI399091,R.SK
PI399093,R.SK
PI406707,R.SK
PI406708,R.SK
PI406709,R.SK
PI407772A,R.SK
PI407781B,R.SK
PI407786A,R.SK
PI407788A,R.SK
PI407795A,R.SK
PI407796,R.SK
PI407805C,R.SK
PI407810,R.SK
PI407818A,R.SK
PI407849,R.SK
PI407850,R.SK
PI407851,R.SK
PI407858,R.SK
PI407860,R.SK
PI407861B,R.SK
PI407862,R.SK
PI407863,R.SK
PI407867A,R.SK
PI407868A,R.SK
PI407868B,R.SK
PI407869B,R.SK
PI407872A,R.SK
PI407872C,R.SK
PI407873,R.SK
PI407875B,R.SK
PI407883,R.SK
PI407886,R.SK
PI407892A,R.SK
PI407895,R.SK
PI407898A,R.SK
PI407902A,R.SK
PI407902B,R.SK
PI407907A,R.SK
PI407913A,R.SK
PI407914B,R.SK
PI407914D,R.SK
PI407918A,R.SK
PI407925,R.SK
PI407926A,R.SK
PI407926B,R.SK
PI407927A,R.SK
PI407932A,R.SK
PI407932B,R.SK
PI407933,R.SK
PI407934,R.SK
PI407939A,R.SK
PI407939B,R.SK
PI407947,R.SK
PI407958,R.SK
PI407966A,R.SK
PI407966B,R.SK
PI407973A,R.SK
PI407976A,R.SK
PI407979,R.SK
PI407988B,R.SK
PI407992,R.SK
PI407998A,R.SK
PI408005,R.SK
PI408006,R.SK
PI408013,R.SK
PI408014,R.SK
PI408018,R.SK
PI408020D,R.SK
PI408026,R.SK
PI408028,R.SK
PI408032A,R.SK
PI408032B,R.SK
PI408036,R.SK
PI408039,R.SK
PI408048A,R.SK
PI408050B,R.SK
PI408052A,R.SK
PI408052B,R.SK
PI408052C,R.SK
PI408055A,R.SK
PI408055C,R.SK
PI408058,R.SK
PI408064,R.SK
PI408067A,R.SK
PI408068B,R.SK
PI408069,R.SK
PI408070A,R.SK
PI408073,R.SK
PI408074C,R.SK
PI408075,R.SK
PI408079A,R.SK
PI408089,R.SK
PI408095A,R.SK
PI408095B,R.SK
PI408103,R.SK
PI408105A,R.SK
PI408105B,R.SK
PI408108,R.SK
PI408109A,R.SK
PI408110A,R.SK
PI408114,R.SK
PI408116,R.SK
PI408124B,R.SK
PI408125B,R.SK
PI408126A,R.SK
PI408126B,R.SK
PI408128,R.SK
PI408133,R.SK
PI408135A,R.SK
PI408136,R.SK
PI408137A,R.SK
PI408138D,R.SK
PI408140A,R.SK
PI408140B,R.SK
PI408166A,R.SK
PI408170,R.SK
PI408171,R.SK
PI408173,R.SK
PI408174,R.SK
PI408178,R.SK
PI408179,R.SK
PI408181D,R.SK
PI408189,R.SK
PI408194,R.SK
PI408196A,R.SK
PI408197A,R.SK
PI408199,R.SK
PI408200A,R.SK
PI408203A,R.SK
PI408203B,R.SK
PI408209A,R.SK
PI408209B,R.SK
PI408209C,R.SK
PI408214,R.SK
PI408215A,R.SK
PI408216A,R.SK
PI408216B,R.SK
PI408217A,R.SK
